Genome_ID,sample_latitude,sample_longitude
MarMAG_068983,NA,NA
MarMAG_000001,NA,NA
MarMAG_000002,NA,NA
MarMAG_068984,NA,NA
MarMAG_005889,25.5,-67.3
MarMAG_000003,38.10726,-121.648538
MarMAG_000103,38.107057,-121.647578
MarMAG_069864,38.84917,-75.1076
MarMAG_127628,38.84917,-75.1076
MarMAG_095105,38.84917,-75.1076
MarMAG_050711,38.84917,-75.1076
MarMAG_034669,38.84917,-75.1076
MarMAG_110226,38.84917,-75.1076
MarMAG_037159,38.84917,-75.1076
MarMAG_079517,38.84917,-75.1076
MarMAG_009196,38.84917,-75.1076
MarMAG_000006,38.848917,-75.1076
MarMAG_070449,38.848917,-75.1076
MarMAG_054285,38.848917,-75.1076
MarMAG_000005,38.848917,-75.1076
MarMAG_127318,38.848917,-75.1076
MarMAG_011387,38.848917,-75.1076
MarMAG_069929,38.848917,-75.1076
MarMAG_111432,38.848917,-75.1076
MarMAG_070450,38.848917,-75.1076
MarMAG_011388,38.848917,-75.1076
MarMAG_106792,38.848917,-75.1076
MarMAG_000007,38.848917,-75.1076
MarMAG_111433,38.848917,-75.1076
MarMAG_069749,38.84917,-75.1076
MarMAG_128272,38.84917,-75.1076
MarMAG_000008,-62.230512,-58.656117
MarMAG_000010,-62.231932,-58.655087
MarMAG_000009,-62.231932,-58.655087
MarMAG_087596,59.363333,18.119167
MarMAG_087693,59.363333,18.119167
MarMAG_000019,-54.810872,-68.295525
MarMAG_000011,-62.231932,-58.655087
MarMAG_000013,-62.231932,-58.655087
MarMAG_000014,-62.231932,-58.655087
MarMAG_000015,-62.231932,-58.655087
MarMAG_000016,-62.231932,-58.655087
MarMAG_000017,78.243786,15.656147
MarMAG_000020,-54.810872,-68.295525
MarMAG_013231,-62.231932,-58.655087
MarMAG_000012,-62.231932,-58.655087
MarMAG_000022,-62.230512,-58.656117
MarMAG_000023,-62.230512,-58.656117
MarMAG_082405,48.35,-123.3
MarMAG_080925,50,-145
MarMAG_080926,49.283333,-134.666667
MarMAG_084736,48.65,-126.666667
MarMAG_083989,48.6,-123.5
MarMAG_002259,48.6,-123.5
MarMAG_078532,48.6,-123.5
MarMAG_078475,48.6,-123.5
MarMAG_082728,48.6,-123.5
MarMAG_082158,48.6,-123.5
MarMAG_081654,48.6,-123.5
MarMAG_082159,48.6,-123.5
MarMAG_082953,48.6,-123.5
MarMAG_083990,48.6,-123.5
MarMAG_002260,48.6,-123.5
MarMAG_083991,48.6,-123.5
MarMAG_078476,48.6,-123.5
MarMAG_056698,48.6,-123.5
MarMAG_083678,48.6,-123.5
MarMAG_082160,48.6,-123.5
MarMAG_078477,48.6,-123.5
MarMAG_082161,48.6,-123.5
MarMAG_083303,48.6,-123.5
MarMAG_077644,48.6,-123.5
MarMAG_002261,48.6,-123.5
MarMAG_083992,48.6,-123.5
MarMAG_002641,48.6,-123.5
MarMAG_002384,48.6,-123.5
MarMAG_078746,48.6,-123.5
MarMAG_080927,48.97,-130.666667
MarMAG_084180,48.35,-123.29
MarMAG_082406,48.35,-123.29
MarMAG_083993,48.35,-123.29
MarMAG_002262,48.35,-123.29
MarMAG_078478,48.35,-123.29
MarMAG_083304,48.35,-123.29
MarMAG_082162,48.35,-123.29
MarMAG_078747,48.6,-123.5
MarMAG_082163,48.6,-123.5
MarMAG_083679,48.6,-123.5
MarMAG_078479,48.6,-123.5
MarMAG_002263,48.6,-123.5
MarMAG_083070,48.6,-123.5
MarMAG_083305,48.6,-123.5
MarMAG_082548,48.6,-123.5
MarMAG_002642,48.6,-123.5
MarMAG_002385,48.6,-123.5
MarMAG_045846,48.6,-123.5
MarMAG_002643,48.5663346,-123.5193257
MarMAG_002264,48.5663346,-123.5193257
MarMAG_080928,48.35,-123.3
MarMAG_084181,48.6,-123.5
MarMAG_083800,48.6,-123.5
MarMAG_083994,48.6,-123.5
MarMAG_078480,48.6,-123.5
MarMAG_002644,48.6,-123.5
MarMAG_083306,48.6,-123.5
MarMAG_079821,48.6,-123.5
MarMAG_082164,48.6,-123.5
MarMAG_084365,48.6,-123.5
MarMAG_002386,48.6,-123.5
MarMAG_056699,48.6,-123.5
MarMAG_078481,48.6,-123.5
MarMAG_078482,48.97,-130.666667
MarMAG_078483,48.35,-123.29
MarMAG_077645,48.35,-123.29
MarMAG_078359,48.35,-123.29
MarMAG_079822,48.35,-123.29
MarMAG_078748,48.35,-123.29
MarMAG_083307,48.35,-123.29
MarMAG_077445,48.35,-123.29
MarMAG_083436,48.35,-123.29
MarMAG_082749,48.35,-123.29
MarMAG_079823,48.6,-123.5
MarMAG_083995,48.6,-123.5
MarMAG_082165,48.35,-123.29
MarMAG_081655,48.35,-123.29
MarMAG_082407,48.35,-123.29
MarMAG_083996,48.35,-123.29
MarMAG_079998,48.35,-123.29
MarMAG_002265,48.35,-123.29
MarMAG_078484,48.35,-123.29
MarMAG_078749,48.35,-123.29
MarMAG_082166,48.5663346,-123.5193257
MarMAG_002266,48.5663346,-123.5193257
MarMAG_083997,48.5663346,-123.5193257
MarMAG_078485,48.5663346,-123.5193257
MarMAG_082729,48.5663346,-123.5193257
MarMAG_084534,48.6,-123.5
MarMAG_083998,48.6,-123.5
MarMAG_083394,48.6,-123.5
MarMAG_083719,48.6,-123.5
MarMAG_083143,48.6,-123.5
MarMAG_078486,48.6,-123.5
MarMAG_078750,48.6,-123.5
MarMAG_082167,48.6,-123.5
MarMAG_083308,48.6,-123.5
MarMAG_078360,48.6,-123.5
MarMAG_083680,48.6,-123.5
MarMAG_045847,48.6,-123.5
MarMAG_082549,48.6,-123.5
MarMAG_002267,48.6,-123.5
MarMAG_081950,48.6,-123.5
MarMAG_056700,48.6,-123.5
MarMAG_002387,48.6,-123.5
MarMAG_080929,49.283333,-134.666667
MarMAG_082168,48.6,-123.5
MarMAG_079824,48.6,-123.5
MarMAG_080930,49.283333,-134.666667
MarMAG_080931,48.65,-126.666667
MarMAG_078221,48.6,-123.5
MarMAG_083801,48.6,-123.5
MarMAG_083999,48.6,-123.5
MarMAG_002268,48.6,-123.5
MarMAG_082169,48.6,-123.5
MarMAG_081656,48.6,-123.5
MarMAG_078222,48.6,-123.5
MarMAG_084000,48.6,-123.5
MarMAG_082170,48.6,-123.5
MarMAG_079825,48.6,-123.5
MarMAG_083309,48.6,-123.5
MarMAG_084699,49.283333,-134.666667
MarMAG_084001,48.6,-123.5
MarMAG_036061,48.6,-123.5
MarMAG_082171,48.6,-123.5
MarMAG_078751,48.6,-123.5
MarMAG_082172,48.6,-123.5
MarMAG_083681,48.6,-123.5
MarMAG_002269,48.6,-123.5
MarMAG_078533,48.6,-123.5
MarMAG_083071,48.6,-123.5
MarMAG_078487,48.6,-123.5
MarMAG_084002,48.35,-123.29
MarMAG_082173,48.35,-123.29
MarMAG_002270,48.35,-123.29
MarMAG_077800,48.35,-123.3
MarMAG_082174,48.35,-123.3
MarMAG_082408,48.35,-123.29
MarMAG_079826,48.6,-123.5
MarMAG_082175,48.6,-123.5
MarMAG_078223,48.6,-123.5
MarMAG_002271,48.6,-123.5
MarMAG_084003,48.6,-123.5
MarMAG_078488,48.6,-123.5
MarMAG_082730,48.6,-123.5
MarMAG_082176,48.6,-123.5
MarMAG_084004,48.5663346,-123.5193257
MarMAG_082954,48.6,-123.5
MarMAG_084005,48.6,-123.5
MarMAG_083682,48.6,-123.5
MarMAG_082177,48.6,-123.5
MarMAG_083310,48.6,-123.5
MarMAG_082178,48.6,-123.5
MarMAG_082731,48.6,-123.5
MarMAG_076390,48.6,-123.5
MarMAG_079999,48.6,-123.5
MarMAG_083683,48.6,-123.5
MarMAG_002272,48.6,-123.5
MarMAG_002645,48.6,-123.5
MarMAG_078752,48.6,-123.5
MarMAG_078489,48.6,-123.5
MarMAG_083072,48.35,-123.3
MarMAG_002646,48.35,-123.3
MarMAG_078490,48.35,-123.3
MarMAG_078753,48.35,-123.3
MarMAG_082179,48.35,-123.3
MarMAG_002273,48.6,-123.5
MarMAG_002647,48.6,-123.5
MarMAG_082732,48.6,-123.5
MarMAG_078491,48.6,-123.5
MarMAG_082180,48.6,-123.5
MarMAG_078754,48.6,-123.5
MarMAG_084182,48.6,-123.5
MarMAG_082409,48.6,-123.5
MarMAG_084366,48.6,-123.5
MarMAG_082181,48.6,-123.5
MarMAG_002274,48.6,-123.5
MarMAG_084006,48.6,-123.5
MarMAG_056701,48.6,-123.5
MarMAG_083822,48.6,-123.5
MarMAG_081657,48.6,-123.5
MarMAG_078492,48.6,-123.5
MarMAG_002388,48.6,-123.5
MarMAG_078755,48.6,-123.5
MarMAG_082182,48.6,-123.5
MarMAG_083311,48.6,-123.5
MarMAG_002275,48.6,-123.5
MarMAG_083073,48.6,-123.5
MarMAG_056702,48.6,-123.5
MarMAG_002648,48.6,-123.5
MarMAG_080932,48.97,-130.666667
MarMAG_081377,48.6,-123.5
MarMAG_082183,48.6,-123.5
MarMAG_083015,48.6,-123.5
MarMAG_076391,48.6,-123.5
MarMAG_084484,48.6,-123.5
MarMAG_077523,48.6,-123.5
MarMAG_078756,48.6,-123.5
MarMAG_081658,48.6,-123.5
MarMAG_082410,48.6,-123.5
MarMAG_084485,48.6,-123.5
MarMAG_081951,48.6,-123.5
MarMAG_078493,48.6,-123.5
MarMAG_083016,48.6,-123.5
MarMAG_082184,48.6,-123.5
MarMAG_002276,48.6,-123.5
MarMAG_084007,48.5663346,-123.5193257
MarMAG_081659,48.5663346,-123.5193257
MarMAG_082185,48.5663346,-123.5193257
MarMAG_083017,48.5663346,-123.5193257
MarMAG_076392,48.5663346,-123.5193257
MarMAG_084008,48.5663346,-123.5193257
MarMAG_080933,50,-145
MarMAG_080934,48.97,-130.666667
MarMAG_032924,48.97,-130.666667
MarMAG_082411,50,-145
MarMAG_080935,49.283333,-134.666667
MarMAG_080936,49.283333,-134.666667
MarMAG_080000,48.6,-123.5
MarMAG_082412,48.6,-123.5
MarMAG_084009,48.6,-123.5
MarMAG_036062,48.6,-123.5
MarMAG_083018,48.6,-123.5
MarMAG_082413,48.35,-123.3
MarMAG_081660,48.35,-123.3
MarMAG_084183,48.35,-123.3
MarMAG_078494,48.35,-123.3
MarMAG_082186,48.35,-123.3
MarMAG_078757,48.35,-123.3
MarMAG_084184,48.35,-123.3
MarMAG_081661,48.35,-123.3
MarMAG_078495,48.35,-123.3
MarMAG_082187,48.35,-123.3
MarMAG_082414,48.35,-123.3
MarMAG_082188,48.35,-123.3
MarMAG_081662,48.35,-123.3
MarMAG_080937,48.35,-123.3
MarMAG_080938,50,-145
MarMAG_080939,49.566667,-138.666667
MarMAG_080940,49.566667,-138.666667
MarMAG_080445,48.65,-126.666667
MarMAG_079543,48.65,-126.666667
MarMAG_080941,48.65,-126.666667
MarMAG_080942,49.566667,-138.666667
MarMAG_000024,38.10726,-121.648538
MarMAG_000025,38.10726,-121.648538
MarMAG_000026,38.10726,-121.648538
MarMAG_000027,38.106796,-121.646457
MarMAG_000028,38.106796,-121.646457
MarMAG_000029,38.106796,-121.646457
MarMAG_000030,38.106796,-121.646457
MarMAG_000031,38.106796,-121.646457
MarMAG_080943,48.97,-130.666667
MarMAG_081275,48.97,-130.666667
MarMAG_038559,49.566667,-138.666667
MarMAG_081663,48.6,-123.5
