Package	Version	Use
abind	1.4-8	Analysis
ape	5.8-1	Analysis
askpass	1.2.1	Analysis
backports	1.5.0	Analysis
base64enc	0.1-3	Analysis
beeswarm	0.4.0	Analysis
Biobase	2.62.0	Analysis
BiocGenerics	0.48.1	Analysis
BiocManager	1.30.25	Analysis
BiocVersion	3.18.1	Analysis
bit	4.6.0	Analysis
bit64	4.6.0-1	Analysis
bitops	1.0-9	Analysis
blob	1.2.4	Analysis
brew	1.0-10	Analysis
brio	1.1.5	Analysis
broom	1.0.8	Analysis
bslib	0.9.0	Analysis
ca	0.71.1	Analysis
cachem	1.1.0	Analysis
Cairo	1.6-2	Analysis
callr	3.7.6	Analysis
car	3.1-3	Analysis
carData	3.0-5	Analysis
cellranger	1.1.0	Analysis
checkmate	2.3.2	Analysis
classInt	0.4-11	Analysis
cli	3.6.3	Analysis
clipr	0.8.0	Analysis
colorspace	2.1-1	Analysis
colourpicker	1.3.0	Analysis
commonmark	1.9.5	Analysis
conflicted	1.2.0	Analysis
corrplot	0.95	Visualisation
corrr	0.4.4	Analysis
cowplot	1.1.3	Visualisation
cpp11	0.5.2	Analysis
crayon	1.5.3	Analysis
credentials	2.0.2	Analysis
curl	6.2.3	Analysis
data.table	1.17.4	Analysis
DBI	1.2.3	Analysis
dbplyr	2.5.0	Analysis
Deriv	4.1.6	Analysis
desc	1.4.3	Analysis
devtools	2.4.5	Analysis
diffobj	0.3.6	Analysis
digest	0.6.37	Analysis
doBy	4.6.27	Analysis
downlit	0.4.4	Analysis
dplyr	1.1.4	Analysis
dtplyr	1.3.1	Analysis
e1071	1.7-16	Analysis
ellipsis	0.3.2	Analysis
emmeans	1.11.2	Analysis
estimability	1.5.1	Analysis
evaluate	1.0.3	Analysis
fansi	1.0.6	Analysis
farver	2.1.2	Analysis
fastmap	1.2.0	Visualisation
fontawesome	0.5.3	Analysis
forcats	1.0.0	Analysis
foreach	1.5.2	Analysis
Formula	1.2-5	Analysis
fs	1.6.6	Analysis
gargle	1.5.2	Analysis
gclus	1.3.3	Analysis
generics	0.1.4	Analysis
GEOquery	2.70.0	Analysis
gert	2.1.5	Analysis
ggbeeswarm	0.7.2	Visualisation
ggExtra	0.10.1	Visualisation
ggmap	4.0.1	Visualisation
ggplot2	3.5.2	Visualisation
ggpubr	0.6.0	Visualisation
ggrepel	0.9.6	Visualisation
ggridges	0.5.6	Visualisation
ggsci	3.2.0	Visualisation
ggsignif	0.6.4	Visualisation
gh	1.5.0	Analysis
gitcreds	0.1.2	Analysis
glue	1.8.0	Analysis
googledrive	2.1.1	Analysis
googlesheets4	1.1.1	Analysis
graph	1.80.0	Visualisation
gridExtra	2.3	Visualisation
gtable	0.3.6	Analysis
haven	2.5.5	Analysis
highr	0.11	Analysis
Hmisc	5.2-3	Analysis
hms	1.1.3	Analysis
htmlTable	2.4.3	Analysis
htmltools	0.5.8.1	Analysis
htmlwidgets	1.6.4	Analysis
httpuv	1.6.16	Analysis
httr	1.4.7	Analysis
httr2	1.1.2	Analysis
ids	1.0.1	Analysis
igraph	2.1.4	Analysis
ini	0.3.1	Analysis
isoband	0.2.7	Analysis
iterators	1.0.14	Analysis
jpeg	0.1-11	Analysis
jquerylib	0.1.4	Analysis
jsonlite	2.0.0	Analysis
knitr	1.5	Analysis
labeling	0.4.3	Analysis
later	1.4.2	Analysis
lifecycle	1.0.4	Analysis
limma	3.58.1	Analysis
lme4	1.1-37	Analysis
lmtest	0.9-40	Analysis
lubridate	1.9.4	Analysis
magrittr	2.0.3	Analysis
maps	3.4.3	Visualisation
MatrixModels	0.5-4	Analysis
memoise	2.0.1	Analysis
microbenchmark	1.5.0	Analysis
mime	0.13	Analysis
miniUI	0.1.2	Analysis
minqa	1.2.8	Analysis
modelr	0.1.11	Analysis
multcomp	1.4-28	Analysis
multcompView	0.1-10	Analysis
munsell	0.5.1	Analysis
mvabund	4.2.1	Analysis
mvtnorm	1.3-3	Analysis
nloptr	2.2.1	Analysis
numDeriv	2016.8-1.1	Analysis
openssl	2.3.3	Analysis
patchwork	1.3.1	Visualisation
pbkrtest	0.5.4	Analysis
permute	0.9-7	Analysis
pheatmap	1.0.12	Visualisation
picante	1.8.2	Analysis
pillar	1.10.2	Analysis
pkgbuild	1.4.8	Analysis
pkgconfig	2.0.3	Analysis
pkgdown	2.1.3	Analysis
pkgload	1.4.0	Analysis
plogr	0.2.0	Analysis
plyr	1.8.9	Analysis
png	0.1-8	Analysis
polynom	1.4-1	Analysis
praise	1.0.0	Analysis
prettyunits	1.2.0	Analysis
processx	3.8.6	Analysis
profvis	0.4.0	Analysis
progress	1.2.3	Analysis
promises	1.3.3	Analysis
proxy	0.4-27	Analysis
ps	1.9.1	Analysis
purrr	1.0.2	Analysis
qap	0.1-2	Analysis
quantreg	6.1	Analysis
R.methodsS3	1.8.2	Analysis
R.oo	1.27.1	Analysis
R6	2.6.1	Analysis
ragg	1.4.0	Visualisation
rappdirs	0.3.3	Analysis
raster	3.6-32	Analysis
rbibutils	2.3	Analysis
rcmdcheck	1.4.0	Analysis
RColorBrewer	1.1-3	Visualisation
Rcpp	1.0.14	Analysis
RcppEigen	0.3.4.0.2	Analysis
RcppGSL	0.3.13	Analysis
